iso3,country_name,income_tier,mean_brightness,total_light,p90_brightness,lit_fraction,light_density,spatial_dispersion,hotspot_count,gini,entropy,urban_concentration
CYP,Cyprus,High,0.03740336745977402,153.20419311523438,0.07912113517522812,0.3212890625,0.11505468934774399,0.33153838596010177,45,0.7276453792801307,3.5575298174329433,0.36159074306488037
CZE,Czechia,High,0.04043693095445633,165.62966918945312,0.09777363389730453,0.4130859375,0.09568615257740021,0.32292585997162404,125,0.7130480027102544,3.401886648620503,0.3521215617656708
DEU,Germany,High,0.06253904104232788,256.159912109375,0.16526862978935242,0.522216796875,0.118357814848423,0.3309987554804126,146,0.6885164364620091,3.753046807716549,0.3245280981063843
DNK,Denmark,High,0.021943554282188416,89.88079833984375,0.031242113560438156,0.177734375,0.11890105158090591,0.3449773185414795,63,0.8152704209684969,3.4893113765751393,0.36920860409736633
ESP,Spain,High,0.0370137058198452,151.60813903808594,0.07293124496936798,0.317626953125,0.11325055360794067,0.35222880272711776,81,0.7784165215675376,3.4880142931082965,0.37500444054603577
EST,Estonia,High,0.013442493975162506,55.060455322265625,0.012074839323759079,0.10986328125,0.11686822772026062,0.33519014269693,29,0.877660560308055,3.189166830830898,0.4128011167049408
FIN,Finland,High,0.02824218198657036,115.67997741699219,0.046241383999586105,0.34033203125,0.08070200681686401,0.35652094578096105,64,0.7572706726861069,2.762536711122542,0.45681315660476685
FRA,France,High,0.0033711816649883986,13.80836009979248,0.0,0.027099609375,0.12413746863603592,0.13304189481136372,15,0.622798791461447,3.5618005873578436,0.32507047057151794
GBR,United Kingdom,High,0.0337003692984581,138.03671264648438,0.08333072066307068,0.234619140625,0.1417461782693863,0.299155574301174,65,0.760549778338101,3.9975968635095502,0.30433589220046997
GRC,Greece,High,0.021848928183317184,89.49320983886719,0.04743040353059769,0.20556640625,0.10409997403621674,0.32169236890026687,66,0.7263933782863041,3.4763559872101526,0.36185771226882935
HRV,Croatia,High,0.02352183684706688,96.34544372558594,0.0545346736907959,0.20361328125,0.11407656222581863,0.34025959614478674,66,0.7053297431846917,3.6625851377092973,0.33280304074287415
HUN,Hungary,High,0.03703037276864052,151.67640686035156,0.08155705034732819,0.364501953125,0.09908301383256912,0.3311394392303098,127,0.7517758276238831,3.3413512361964446,0.38514426350593567
